CNT,Drugs,ndrugs,rnk
3409,DB13868,1,611
3400,DB06589,1,612
3399,DB00259,1,613
3365,DB01058,1,614
3350,DB08877,1,615
3324,DB06794,1,616
3227,DB00908,1,617
3092,DB04951,1,618
3038,DB01100,1,619
3030,DB01579,1,620
3002,DB14575,1,621
2980,DB08933,1,622
2955,DB01048,1,623
2904,DB06480,1,624
2900,DB01609,1,625
2897,DB00559,1,626
2884,DB11089,1,627
2811,DB00291,1,628
2789,DB00900,1,629
2755,DB00937,1,630
2738,DB00479,1,631
2730,DB01113,1,632
2723,DB09083,1,633
2691,DB00491,1,634
2632,DB06210,1,635
2625,DB01053,1,636
2600,DB00622,1,637
2558,DB00355,1,638
2524,DB06691,1,639
2502,DB00553,1,640
2459,DB00780,1,641
2443,DB04946,1,642
2380,DB08932,1,643
2360,DB04868,1,644
2351,DB08896,1,645
2326,DB00782,1,646
2274,DB00615,1,647
2248,DB00757,1,648
2196,DB06414,1,649
2154,DB00752,1,650
2098,DB00773,1,651
2025,DB00949,1,652
2020,DB00809,1,653
1981,DB08883,1,654
1921,DB01421,1,655
1920,DB00649,1,656
1896,DB01319,1,657
1789,DB01106,1,658
1788,DB06243,1,659
1746,DB01250,1,660
1728,DB05521,1,661
1714,DB01259,1,662
1668,DB00220,1,663
1608,DB01042,1,664
1589,DB00495,1,665
1587,DB08875,1,666
1533,DB06626,1,667
1461,DB06201,1,668
1452,DB04844,1,669
1431,DB00826,1,670
1421,DB00393,1,671
1356,DB00352,1,672
1345,DB08931,1,673
1330,DB00607,1,674
1281,DB06764,1,675
1274,DB08828,1,676
1237,DB00317,1,677
1213,DB00925,1,678
1209,DB00201,1,679
1201,DB06825,1,680
1193,DB01186,1,681
1117,DB00377,1,682
1117,DB00543,1,682
1107,DB08820,1,684
1089,DB00681,1,685
1070,DB01206,1,686
1066,DB00374,1,687
1033,DB01577,1,688
1026,DB00934,1,689
1025,DB01551,1,690
1021,DB09085,1,691
1021,DB00672,1,691
1017,DB00560,1,693
1008,DB01214,1,694
1004,DB00232,1,695
974,DB01087,1,696
968,DB00859,1,697
966,DB00206,1,698
964,DB08916,1,699
954,DB04835,1,700
943,DB00539,1,701
926,DB00339,1,702
900,DB00307,1,703
892,DB01185,1,704
883,DB01201,1,705
879,DB01232,1,706
872,DB06590,1,707
830,DB00449,1,708
815,DB00666,1,709
793,DB08865,1,710
785,DB01168,1,711
773,DB06760,1,712
768,DB00224,1,713
762,DB06774,1,714
758,DB00359,1,715
756,DB00726,1,716
747,DB00665,1,717
743,DB00730,1,718
740,DB00839,1,719
733,DB09080,1,720
727,DB00807,1,721
720,DB08864,1,722
717,DB00109,1,723
705,DB01057,1,724
705,DB06212,1,724
672,DB06795,1,726
672,DB00713,1,726
669,DB00714,1,728
660,DB05039,1,729
652,DB08873,1,730
640,DB08911,1,731
635,DB08881,1,732
629,DB01093,1,733
618,DB00360,1,734
612,DB08869,1,735
612,DB01080,1,735
611,DB01119,1,737
600,DB01035,1,738
568,DB00578,1,739
564,DB01589,1,740
536,DB00014,1,741
526,DB00205,1,742
524,DB08912,1,743
509,DB06616,1,744
501,DB06791,1,745
